pod,kss_node,sim_node,category
rq1-s143,worker-3,worker-3,MATCH
rq1-s144,worker-2,worker-2,MATCH
rq1-s145,worker-2,worker-1,DIFFER
rq1-s146,worker-2,worker-2,MATCH
rq1-s147,worker-3,worker-3,MATCH
rq1-s148,worker-3,worker-3,MATCH
rq1-s149,worker-3,worker-3,MATCH
rq1-s150,worker-3,worker-3,MATCH
rq1-s151,worker-3,worker-3,MATCH
rq1-s152,worker-3,worker-3,MATCH
rq1-s153,worker-1,worker-1,MATCH
rq1-s154,worker-3,worker-3,MATCH
rq1-s155,worker-1,worker-1,MATCH
rq1-s156,worker-3,worker-3,MATCH
rq1-s157,worker-3,worker-3,MATCH
rq1-s158,worker-3,worker-3,MATCH
rq1-s159,worker-3,worker-3,MATCH
rq1-s160,worker-1,worker-1,MATCH
rq1-s161,worker-2,worker-2,MATCH
rq1-s162,worker-1,worker-1,MATCH
rq1-s163,worker-3,worker-3,MATCH
rq1-s164,worker-3,worker-3,MATCH
rq1-s165,worker-1,worker-1,MATCH
rq1-s166,worker-2,worker-1,DIFFER
rq1-s167,worker-3,worker-3,MATCH
rq1-s168,worker-2,worker-2,MATCH
rq1-s169,worker-3,worker-3,MATCH
rq1-s170,worker-1,worker-1,MATCH
rq1-s171,worker-1,worker-1,MATCH
rq1-s172,worker-1,worker-1,MATCH
rq1-s173,worker-3,worker-3,MATCH
rq1-s174,worker-2,worker-1,DIFFER
rq1-s175,worker-1,worker-1,MATCH
rq1-s176,worker-3,worker-3,MATCH
rq1-s177,worker-2,worker-1,DIFFER
rq1-s178,worker-1,worker-1,MATCH
rq1-s179,worker-2,worker-2,MATCH
rq1-s180,worker-1,worker-1,MATCH
rq1-s181,worker-2,worker-2,MATCH
rq1-s182,worker-1,worker-1,MATCH
rq1-s183,worker-3,worker-3,MATCH
rq1-s184,worker-3,worker-3,MATCH
rq1-s185,worker-3,worker-3,MATCH
rq1-s186,worker-3,worker-3,MATCH
rq1-s187,worker-3,worker-3,MATCH
rq1-s188,worker-2,worker-2,MATCH
rq1-s189,worker-3,worker-3,MATCH
rq1-s190,worker-3,worker-3,MATCH
rq1-s191,worker-2,worker-2,MATCH
rq1-s192,worker-3,worker-3,MATCH
rq1-s193,worker-2,worker-1,DIFFER
rq1-s194,worker-2,worker-2,MATCH
rq1-s195,worker-2,worker-1,DIFFER
rq1-s196,worker-1,worker-1,MATCH
rq1-s197,worker-3,worker-3,MATCH
rq1-s198,worker-1,worker-1,MATCH
rq1-s199,worker-2,worker-2,MATCH
rq1-s200,worker-1,worker-1,MATCH
rq1-s201,worker-3,worker-3,MATCH
rq1-s202,worker-3,worker-3,MATCH
rq1-s203,worker-2,worker-1,DIFFER
rq1-s204,worker-2,worker-1,DIFFER
rq1-s205,worker-2,worker-1,DIFFER
rq1-s206,worker-3,worker-3,MATCH
rq1-s207,worker-1,worker-1,MATCH
rq1-s208,worker-2,worker-1,DIFFER
rq1-s209,worker-3,worker-3,MATCH
