Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,34861,1,160.0,3616.09290028625,6.654097989667207,28794.934795994777,2.999913943948825,58.20476468760251,0.0016696240695218874,160,170,190,230,22000,24000,25000,26000,28000,29000,29000
GET,GET /product,34636,2,160.0,3487.712763737644,6.538297049701214,28694.624326948542,2.9998267698348537,57.82909927196009,0.0033392481390437747,160,170,190,210,22000,24000,25000,26000,28000,29000,29000
POST,POST /cart,34389,14,160.0,3426.422888393569,6.691378017421812,28514.900249021593,2.998778679228823,57.41670212678818,0.02337473697330642,160,170,190,210,22000,24000,25000,26000,28000,28000,29000
POST,POST /checkout,34121,9,160.0,3501.2142981904826,6.561577029060572,28712.986847036518,2.9992086984554964,56.969242876156315,0.015026616625696987,160,170,190,210,22000,24000,25000,26000,28000,29000,29000
,Aggregated,138007,26,160.0,3508.207726124123,6.538297049701214,28794.934795994777,2.999434811277689,230.41980896250712,0.04341022580756907,160,170,190,210,22000,24000,25000,26000,28000,29000,29000
