timestamp,current,min,max,desired,cpuPercent,scaleUpCondition,lastScaleTime
2026-05-14T23:14:36+01:00,2,2,10,2,0,,
2026-05-14T23:14:48+01:00,2,2,10,2,0,,
2026-05-14T23:14:56+01:00,2,2,10,2,0,,
2026-05-14T23:15:14+01:00,2,2,10,2,0,,
2026-05-14T23:15:22+01:00,2,2,10,3,72,,
2026-05-14T23:15:36+01:00,3,2,10,6,154,,
2026-05-14T23:15:44+01:00,3,2,10,6,108,,
2026-05-14T23:15:56+01:00,6,2,10,7,108,,
2026-05-14T23:16:06+01:00,7,2,10,7,59,,
2026-05-14T23:16:16+01:00,7,2,10,7,48,,
2026-05-14T23:16:23+01:00,7,2,10,7,48,,
2026-05-14T23:16:31+01:00,7,2,10,7,48,,
2026-05-14T23:16:45+01:00,7,2,10,7,48,,
2026-05-14T23:16:53+01:00,7,2,10,7,48,,
2026-05-14T23:17:00+01:00,7,2,10,7,48,,
2026-05-14T23:17:10+01:00,7,2,10,7,48,,
2026-05-14T23:17:17+01:00,7,2,10,7,48,,
2026-05-14T23:17:25+01:00,7,2,10,7,48,,
2026-05-14T23:17:35+01:00,7,2,10,7,48,,
2026-05-14T23:17:43+01:00,7,2,10,7,47,,
2026-05-14T23:17:54+01:00,7,2,10,7,47,,
2026-05-14T23:18:02+01:00,7,2,10,7,49,,
2026-05-14T23:18:10+01:00,7,2,10,7,46,,
2026-05-14T23:18:27+01:00,7,2,10,7,46,,
2026-05-14T23:18:35+01:00,7,2,10,7,40,,
2026-05-14T23:18:47+01:00,7,2,10,7,47,,
2026-05-14T23:18:55+01:00,7,2,10,7,48,,
2026-05-14T23:19:08+01:00,7,2,10,7,48,,
2026-05-14T23:19:15+01:00,7,2,10,7,48,,
2026-05-14T23:19:23+01:00,7,2,10,7,48,,
2026-05-14T23:19:36+01:00,7,2,10,7,48,,
2026-05-14T23:19:44+01:00,7,2,10,7,48,,
2026-05-14T23:19:52+01:00,7,2,10,7,48,,
2026-05-14T23:19:59+01:00,7,2,10,7,48,,
2026-05-14T23:20:07+01:00,7,2,10,7,48,,
2026-05-14T23:20:14+01:00,7,2,10,7,48,,
2026-05-14T23:20:22+01:00,7,2,10,7,47,,
2026-05-14T23:20:30+01:00,7,2,10,7,47,,
2026-05-14T23:20:37+01:00,7,2,10,7,49,,
2026-05-14T23:20:45+01:00,7,2,10,7,49,,
2026-05-14T23:20:52+01:00,7,2,10,7,48,,
2026-05-14T23:21:07+01:00,7,2,10,7,48,,
2026-05-14T23:21:14+01:00,7,2,10,7,48,,
2026-05-14T23:21:21+01:00,7,2,10,7,49,,
2026-05-14T23:21:34+01:00,7,2,10,7,49,,
2026-05-14T23:21:45+01:00,7,2,10,7,49,,
2026-05-14T23:22:06+01:00,7,2,10,7,48,,
2026-05-14T23:22:20+01:00,7,2,10,7,48,,
2026-05-14T23:22:32+01:00,7,2,10,7,48,,
2026-05-14T23:22:46+01:00,7,2,10,7,47,,
2026-05-14T23:22:58+01:00,7,2,10,7,48,,
2026-05-14T23:23:11+01:00,7,2,10,7,48,,
2026-05-14T23:23:24+01:00,7,2,10,7,48,,
2026-05-14T23:23:32+01:00,7,2,10,7,49,,
2026-05-14T23:23:43+01:00,7,2,10,7,48,,
2026-05-14T23:23:55+01:00,7,2,10,7,48,,
2026-05-14T23:24:10+01:00,7,2,10,7,48,,
2026-05-14T23:24:19+01:00,7,2,10,7,48,,
2026-05-14T23:24:32+01:00,7,2,10,7,47,,
2026-05-14T23:24:41+01:00,7,2,10,7,47,,
2026-05-14T23:24:51+01:00,7,2,10,7,45,,
2026-05-14T23:25:03+01:00,7,2,10,7,47,,
2026-05-14T23:25:11+01:00,7,2,10,7,47,,
2026-05-14T23:25:23+01:00,7,2,10,7,26,,
2026-05-14T23:25:30+01:00,7,2,10,7,4,,
