timestamp,node,cpuUsed,cpuPct,memUsed,memPct
2026-05-14T23:16:58+01:00,k3s-worker-2,825m,82%,770Mi,13%
2026-05-14T23:16:58+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:17:06+01:00,k3s-server,496m,49%,1019Mi,17%
2026-05-14T23:17:06+01:00,k3s-worker-1,201m,20%,667Mi,11%
2026-05-14T23:17:06+01:00,k3s-worker-2,825m,82%,770Mi,13%
2026-05-14T23:17:06+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:17:12+01:00,k3s-server,496m,49%,1019Mi,17%
2026-05-14T23:17:12+01:00,k3s-worker-1,201m,20%,667Mi,11%
2026-05-14T23:17:12+01:00,k3s-worker-2,825m,82%,770Mi,13%
2026-05-14T23:17:12+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:17:18+01:00,k3s-server,540m,54%,1014Mi,17%
2026-05-14T23:17:18+01:00,k3s-worker-1,209m,20%,667Mi,11%
2026-05-14T23:17:18+01:00,k3s-worker-2,818m,81%,770Mi,13%
2026-05-14T23:17:18+01:00,k3s-worker-3,9m,0%,609Mi,10%
2026-05-14T23:17:24+01:00,k3s-server,540m,54%,1014Mi,17%
2026-05-14T23:17:24+01:00,k3s-worker-1,209m,20%,667Mi,11%
2026-05-14T23:17:24+01:00,k3s-worker-2,818m,81%,770Mi,13%
2026-05-14T23:17:24+01:00,k3s-worker-3,9m,0%,609Mi,10%
2026-05-14T23:17:34+01:00,k3s-server,486m,48%,1015Mi,17%
2026-05-14T23:17:34+01:00,k3s-worker-1,204m,20%,667Mi,11%
2026-05-14T23:17:34+01:00,k3s-worker-2,818m,81%,771Mi,13%
2026-05-14T23:17:34+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:17:39+01:00,k3s-server,486m,48%,1015Mi,17%
2026-05-14T23:17:39+01:00,k3s-worker-1,204m,20%,667Mi,11%
2026-05-14T23:17:39+01:00,k3s-worker-2,818m,81%,771Mi,13%
2026-05-14T23:17:39+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:17:45+01:00,k3s-server,490m,49%,1015Mi,17%
2026-05-14T23:17:45+01:00,k3s-worker-1,202m,20%,667Mi,11%
2026-05-14T23:17:45+01:00,k3s-worker-2,820m,82%,773Mi,13%
2026-05-14T23:17:45+01:00,k3s-worker-3,11m,1%,608Mi,10%
2026-05-14T23:17:54+01:00,k3s-server,490m,49%,1015Mi,17%
2026-05-14T23:17:54+01:00,k3s-worker-1,202m,20%,667Mi,11%
2026-05-14T23:17:54+01:00,k3s-worker-2,820m,82%,773Mi,13%
2026-05-14T23:17:54+01:00,k3s-worker-3,11m,1%,608Mi,10%
2026-05-14T23:18:00+01:00,k3s-server,495m,49%,1014Mi,17%
2026-05-14T23:18:00+01:00,k3s-worker-1,202m,20%,667Mi,11%
2026-05-14T23:18:00+01:00,k3s-worker-2,821m,82%,773Mi,13%
2026-05-14T23:18:00+01:00,k3s-worker-3,7m,0%,608Mi,10%
2026-05-14T23:18:07+01:00,k3s-server,495m,49%,1014Mi,17%
2026-05-14T23:18:07+01:00,k3s-worker-1,202m,20%,667Mi,11%
2026-05-14T23:18:07+01:00,k3s-worker-2,821m,82%,773Mi,13%
2026-05-14T23:18:07+01:00,k3s-worker-3,7m,0%,608Mi,10%
2026-05-14T23:18:12+01:00,k3s-server,499m,49%,1014Mi,17%
2026-05-14T23:18:12+01:00,k3s-worker-1,194m,19%,667Mi,11%
2026-05-14T23:18:12+01:00,k3s-worker-2,838m,83%,804Mi,13%
2026-05-14T23:18:12+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:18:26+01:00,k3s-server,499m,49%,1014Mi,17%
2026-05-14T23:18:26+01:00,k3s-worker-1,194m,19%,667Mi,11%
2026-05-14T23:18:26+01:00,k3s-worker-2,838m,83%,804Mi,13%
2026-05-14T23:18:26+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:18:32+01:00,k3s-server,422m,42%,1014Mi,17%
2026-05-14T23:18:32+01:00,k3s-worker-1,168m,16%,667Mi,11%
2026-05-14T23:18:32+01:00,k3s-worker-2,857m,85%,774Mi,13%
2026-05-14T23:18:32+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:18:39+01:00,k3s-server,422m,42%,1014Mi,17%
2026-05-14T23:18:39+01:00,k3s-worker-1,168m,16%,667Mi,11%
2026-05-14T23:18:39+01:00,k3s-worker-2,857m,85%,774Mi,13%
2026-05-14T23:18:39+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:18:48+01:00,k3s-server,503m,50%,1014Mi,17%
2026-05-14T23:18:48+01:00,k3s-worker-1,202m,20%,667Mi,11%
2026-05-14T23:18:48+01:00,k3s-worker-2,815m,81%,774Mi,13%
2026-05-14T23:18:48+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:18:53+01:00,k3s-server,503m,50%,1014Mi,17%
2026-05-14T23:18:53+01:00,k3s-worker-1,202m,20%,667Mi,11%
2026-05-14T23:18:53+01:00,k3s-worker-2,815m,81%,774Mi,13%
2026-05-14T23:18:53+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:19:00+01:00,k3s-server,492m,49%,1015Mi,17%
2026-05-14T23:19:00+01:00,k3s-worker-1,205m,20%,667Mi,11%
2026-05-14T23:19:00+01:00,k3s-worker-2,817m,81%,774Mi,13%
2026-05-14T23:19:00+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:19:08+01:00,k3s-server,492m,49%,1015Mi,17%
2026-05-14T23:19:08+01:00,k3s-worker-1,205m,20%,667Mi,11%
2026-05-14T23:19:08+01:00,k3s-worker-2,817m,81%,774Mi,13%
2026-05-14T23:19:08+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:19:14+01:00,k3s-server,464m,46%,1015Mi,17%
2026-05-14T23:19:14+01:00,k3s-worker-1,204m,20%,667Mi,11%
2026-05-14T23:19:14+01:00,k3s-worker-2,822m,82%,774Mi,13%
2026-05-14T23:19:14+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:19:20+01:00,k3s-server,464m,46%,1015Mi,17%
2026-05-14T23:19:20+01:00,k3s-worker-1,204m,20%,667Mi,11%
2026-05-14T23:19:20+01:00,k3s-worker-2,822m,82%,774Mi,13%
2026-05-14T23:19:20+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:19:28+01:00,k3s-server,488m,48%,1015Mi,17%
2026-05-14T23:19:28+01:00,k3s-worker-1,203m,20%,667Mi,11%
