timestamp,service,desired,current,target_cpu,observed_cpu
2026-06-07T15:35:58.502420300Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.502420300Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.502420300Z,frontend,3,3,70,26
2026-06-07T15:35:58.504419200Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.504419200Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.504419200Z,frontend,3,3,70,26
2026-06-07T15:35:58.505926500Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.505926500Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.505926500Z,frontend,3,3,70,26
2026-06-07T15:35:58.507438Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.507438Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.507438Z,frontend,3,3,70,26
2026-06-07T15:35:58.509447900Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.509447900Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.509447900Z,frontend,3,3,70,26
2026-06-07T15:35:58.511448200Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.511448200Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.511448200Z,frontend,3,3,70,26
2026-06-07T15:35:58.512447400Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.512447400Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.512447400Z,frontend,3,3,70,26
2026-06-07T15:35:58.512954500Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.512954500Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.512954500Z,frontend,3,3,70,26
2026-06-07T15:35:58.515471700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.515471700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.515471700Z,frontend,2,2,70,39
2026-06-07T15:35:58.515977800Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.515977800Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.515977800Z,frontend,2,2,70,39
2026-06-07T15:35:58.517486500Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.517486500Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.517486500Z,frontend,2,2,70,39
2026-06-07T15:35:58.518499Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.518499Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.518499Z,frontend,2,2,70,39
2026-06-07T15:35:58.519498200Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.519498200Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.519498200Z,frontend,2,2,70,39
2026-06-07T15:35:58.520554Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.520554Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.520554Z,frontend,2,2,70,39
2026-06-07T15:35:58.521551900Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.521551900Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.521551900Z,frontend,2,2,70,39
2026-06-07T15:35:58.523058800Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.523058800Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.523058800Z,frontend,2,2,70,39
2026-06-07T15:35:58.524429800Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.524429800Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.524429800Z,frontend,2,2,70,39
2026-06-07T15:35:58.525467Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.525467Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.525467Z,frontend,2,2,70,39
2026-06-07T15:35:58.526616200Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.526616200Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.526616200Z,frontend,2,2,70,39
2026-06-07T15:35:58.535641900Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.535641900Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.535641900Z,frontend,2,2,70,39
2026-06-07T15:35:58.537960900Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.537960900Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.537960900Z,frontend,2,2,70,39
2026-06-07T15:35:58.539028700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.539028700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.539028700Z,frontend,2,2,70,39
2026-06-07T15:35:58.540033Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.540033Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.540033Z,frontend,2,2,70,39
2026-06-07T15:35:58.541030900Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.541030900Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.541030900Z,frontend,2,2,70,39
2026-06-07T15:35:58.542027700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.542027700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.542027700Z,frontend,2,2,70,39
2026-06-07T15:35:58.542539600Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.542539600Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.542539600Z,frontend,2,2,70,39
2026-06-07T15:35:58.543572700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.543572700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.543572700Z,frontend,2,2,70,39
2026-06-07T15:35:58.544574500Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.544574500Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.544574500Z,frontend,2,2,70,39
2026-06-07T15:35:58.545572600Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.545572600Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.545572600Z,frontend,2,2,70,39
2026-06-07T15:35:58.546573700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.546573700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.546573700Z,frontend,2,2,70,39
2026-06-07T15:35:58.546573700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.546573700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.546573700Z,frontend,2,2,70,39
2026-06-07T15:35:58.547579300Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.547579300Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.547579300Z,frontend,2,2,70,39
2026-06-07T15:35:58.548582Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.548582Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.548582Z,frontend,2,2,70,39
2026-06-07T15:35:58.548582Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.548582Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.548582Z,frontend,2,2,70,39
2026-06-07T15:35:58.549582300Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.549582300Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.549582300Z,frontend,2,2,70,39
2026-06-07T15:35:58.550583900Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.550583900Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.550583900Z,frontend,2,2,70,39
2026-06-07T15:35:58.551582Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.551582Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.551582Z,frontend,2,2,70,39
2026-06-07T15:35:58.553086100Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.553086100Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.553086100Z,frontend,2,2,70,39
2026-06-07T15:35:58.553086100Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.553086100Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.553086100Z,frontend,2,2,70,39
2026-06-07T15:35:58.554093700Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.554093700Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.554093700Z,frontend,2,2,70,39
2026-06-07T15:35:58.555101100Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.555101100Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.555101100Z,frontend,2,2,70,39
2026-06-07T15:35:58.555101100Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.555101100Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.555101100Z,frontend,2,2,70,39
2026-06-07T15:35:58.556568200Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.556568200Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.556568200Z,frontend,2,2,70,39
2026-06-07T15:35:58.557569200Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.557569200Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.557569200Z,frontend,2,2,70,39
2026-06-07T15:35:58.558599800Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.558599800Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.558599800Z,frontend,2,2,70,39
2026-06-07T15:35:58.559601600Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.559601600Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.559601600Z,frontend,2,2,70,39
2026-06-07T15:35:58.560740100Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.560740100Z,checkoutservice,1,1,70,6
2026-06-07T15:35:58.560740100Z,frontend,2,2,70,39
2026-06-07T15:35:58.560740100Z,recommendationservice,3,3,70,85
2026-06-07T15:35:58.560740100Z,checkoutservice,1,1,70,6
