timestamp,service,desired,current,target_cpu,observed_cpu
2026-06-07T15:36:02.825050600Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.825050600Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.825050600Z,frontend,10,10,70,38
2026-06-07T15:36:02.827058300Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.827058300Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.827058300Z,frontend,10,10,70,38
2026-06-07T15:36:02.828572300Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.828572300Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.828572300Z,frontend,10,10,70,38
2026-06-07T15:36:02.830572500Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.830572500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.830572500Z,frontend,10,10,70,38
2026-06-07T15:36:02.833080600Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.833080600Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.833080600Z,frontend,10,10,70,38
2026-06-07T15:36:02.835091400Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.835091400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.835091400Z,frontend,10,10,70,38
2026-06-07T15:36:02.837107Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.837107Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.837107Z,frontend,10,10,70,38
2026-06-07T15:36:02.838121800Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.838121800Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.838121800Z,frontend,10,10,70,38
2026-06-07T15:36:02.840123500Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.840123500Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.840123500Z,frontend,10,10,70,38
2026-06-07T15:36:02.841122900Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.841122900Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.841122900Z,frontend,10,10,70,38
2026-06-07T15:36:02.841122900Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.841122900Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.841122900Z,frontend,10,10,70,38
2026-06-07T15:36:02.842633700Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.842633700Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.842633700Z,frontend,10,10,70,38
2026-06-07T15:36:02.844927400Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.844927400Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.844927400Z,frontend,10,10,70,38
2026-06-07T15:36:02.845924Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.845924Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.845924Z,frontend,10,10,70,38
2026-06-07T15:36:02.847924100Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.847924100Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.847924100Z,frontend,10,10,70,38
2026-06-07T15:36:02.848930700Z,recommendationservice,10,10,70,18
2026-06-07T15:36:02.848930700Z,checkoutservice,1,1,70,40
2026-06-07T15:36:02.848930700Z,frontend,10,10,70,38
2026-06-07T15:36:02.849967900Z,recommendationservice,10,10,70,18
