serviceRequest,startTime,duration,status
web,7.356,0.014000,OK
web,7.384,0.014000,OK
web,7.412,0.014000,OK
web,7.440,0.014000,OK
web,7.468,0.014000,OK
web,7.496,0.014000,OK
web,7.524,0.014000,OK
web,7.552,0.014000,OK
web,7.580,0.014000,OK
web,7.608,0.014000,OK
web,7.636,0.014000,OK
web,7.664,0.014000,OK
web,7.692,0.014000,OK
web,7.720,0.014000,OK
web,7.748,0.014000,OK
web,7.776,0.014000,OK
web,7.804,0.014000,OK
web,7.832,0.014000,OK
web,7.860,0.014000,OK
web,7.888,0.014000,OK
web,7.916,0.014000,OK
web,7.944,0.014000,OK
web,7.972,0.014000,OK
web,8.000,0.014000,OK
web,8.028,0.014000,OK
web,8.056,0.014000,OK
web,8.084,0.014000,OK
web,8.112,0.014000,OK
web,8.140,0.014000,OK
web,8.168,0.014000,OK
web,8.196,0.014000,OK
web,8.224,0.014000,OK
web,8.252,0.014000,OK
web,8.280,0.014000,OK
web,8.308,0.014000,OK
web,8.336,0.014000,OK
web,8.364,0.014000,OK
web,8.392,0.014000,OK
web,8.420,0.014000,OK
web,8.448,0.014000,OK
web,8.476,0.014000,OK
web,8.504,0.014000,OK
web,8.532,0.014000,OK
web,8.560,0.014000,OK
web,8.588,0.014000,OK
web,8.616,0.014000,OK
web,8.644,0.014000,OK
web,8.672,0.014000,OK
web,8.700,0.014000,OK
web,8.728,0.014000,OK
web,8.756,0.014000,OK
web,8.784,0.014000,OK
web,8.812,0.014000,OK
web,8.840,0.014000,OK
web,8.868,0.014000,OK
web,8.896,0.014000,OK
web,8.924,0.014000,OK
web,8.952,0.014000,OK
web,8.980,0.014000,OK
web,9.008,0.014000,OK
web,9.036,0.014000,OK
web,9.064,0.014000,OK
web,9.092,0.014000,OK
web,9.120,0.014000,OK
web,9.148,0.014000,OK
web,9.176,0.014000,OK
web,9.204,0.014000,OK
web,9.232,0.014000,OK
web,9.260,0.014000,OK
web,9.288,0.014000,OK
web,9.316,0.014000,OK
web,9.344,0.014000,OK
web,9.372,0.014000,OK
web,9.400,0.014000,OK
web,9.428,0.014000,OK
web,9.456,0.014000,OK
web,9.484,0.014000,OK
web,9.512,0.014000,OK
web,9.540,0.014000,OK
web,9.568,0.014000,OK
web,9.596,0.014000,OK
web,9.624,0.014000,OK
web,9.652,0.014000,OK
web,9.680,0.014000,OK
web,9.708,0.014000,OK
web,9.736,0.014000,OK
web,9.764,0.014000,OK
web,9.792,0.014000,OK
web,9.820,0.014000,OK
web,9.848,0.014000,OK
web,9.876,0.014000,OK
web,9.904,0.014000,OK
web,9.932,0.014000,OK
web,9.960,0.014000,OK
web,9.988,0.014000,OK
web,10.016,0.014000,OK
web,10.044,0.014000,OK
web,10.072,0.014000,OK
web,10.100,0.014000,OK
web,10.128,0.014000,OK
web,10.156,0.014000,OK
web,10.184,0.014000,OK
web,10.212,0.014000,OK
web,10.240,0.014000,OK
web,10.268,0.014000,OK
web,10.296,0.014000,OK
web,10.324,0.014000,OK
web,10.352,0.014000,OK
web,10.380,0.014000,OK
web,10.408,0.014000,OK
web,10.436,0.014000,OK
web,10.464,0.014000,OK
web,10.492,0.014000,OK
web,10.520,0.014000,OK
web,10.548,0.014000,OK
web,10.576,0.014000,OK
web,10.604,0.014000,OK
web,10.632,0.014000,OK
web,10.660,0.014000,OK
web,10.688,0.014000,OK
web,10.716,0.014000,OK
web,10.744,0.014000,OK
web,10.772,0.014000,OK
web,10.800,0.014000,OK
web,10.828,0.014000,OK
web,10.856,0.014000,OK
web,10.884,0.014000,OK
web,10.912,0.014000,OK
web,10.940,0.014000,OK
web,10.968,0.014000,OK
web,10.996,0.014000,OK
web,11.024,0.014000,OK
web,11.052,0.014000,OK
web,11.080,0.014000,OK
web,11.108,0.014000,OK
web,11.136,0.014000,OK
web,11.164,0.014000,OK
web,11.192,0.014000,OK
web,11.220,0.014000,OK
