Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,48298,0,1,3.285742571985387,0.7253260118886828,221.84515300614294,2.0,80.5826600710542,0.0,1,2,2,2,3,5,43,58,120,200,220
GET,GET /product,48039,0,1,2.140721527990415,0.7506469992222264,159.84209900489077,2.0,80.15053226124007,0.0,1,2,2,2,3,4,7,19,72,120,160
POST,POST /cart,47763,0,1,2.1697649679436575,0.7580870005767792,143.65788000577595,2.0,79.69004085000957,0.0,1,2,2,2,3,4,7,19,69,120,140
POST,POST /checkout,47524,0,1,2.1575080609209456,0.7612469926243648,134.11127700237557,2.0,79.29128198303822,0.0,1,2,2,2,3,4,7,17,76,110,130
,Aggregated,191624,0,1,2.4407214830917927,0.7253260118886828,221.84515300614294,2.0,319.71451516534205,0.0,1,2,2,2,3,4,11,28,87,150,220
